Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
01/01/2000 12:00:00 AM,820,1.372,$54.26
02/01/2000 12:00:00 AM,766,1.372,$50.27
03/01/2000 12:00:00 AM,707,1.372,$45.91
04/01/2000 12:00:00 AM,715,1.372,$46.50
05/01/2000 12:00:00 AM,838,1.372,$61.68
06/01/2000 12:00:00 AM,1221,1.372,$96.88
07/01/2000 12:00:00 AM,1442,1.372,$117.20
08/01/2000 12:00:00 AM,1493,1.635,$125.81
09/01/2000 12:00:00 AM,1368,1.635,$113.99
10/01/2000 12:00:00 AM,1029,1.635,$81.94
11/01/2000 12:00:00 AM,804,2.211,$59.83
12/01/2000 12:00:00 AM,864,2.211,$64.77
01/01/2001 12:00:00 AM,1019,2.211,$77.52
02/01/2001 12:00:00 AM,855,2.682,$68.05
03/01/2001 12:00:00 AM,714,2.682,$55.78
04/01/2001 12:00:00 AM,727,2.682,$56.91
05/01/2001 12:00:00 AM,794,2.682,$68.04
06/01/2001 12:00:00 AM,1138,2.682,$104.16
07/01/2001 12:00:00 AM,1320,2.682,$123.28
08/01/2001 12:00:00 AM,1539,2.682,$146.28
09/01/2001 12:00:00 AM,1334,2.682,$124.75
10/01/2001 12:00:00 AM,885,2.682,$77.59
11/01/2001 12:00:00 AM,691,2.682,$53.78
12/01/2001 12:00:00 AM,762,2.682,$59.96
01/01/2002 12:00:00 AM,888,1.774,$62.86
02/01/2002 12:00:00 AM,799,1.774,$55.92
03/01/2002 12:00:00 AM,732,1.774,$50.70
04/01/2002 12:00:00 AM,689,1.774,$47.35
05/01/2002 12:00:00 AM,941,1.774,$74.93
06/01/2002 12:00:00 AM,1091,1.774,$89.32
07/01/2002 12:00:00 AM,1224,1.774,$102.08
08/01/2002 12:00:00 AM,1303,1.774,$109.66
09/01/2002 12:00:00 AM,1376,1.774,$116.66
10/01/2002 12:00:00 AM,1047,1.774,$85.10
11/01/2002 12:00:00 AM,717,1.774,$49.53
12/01/2002 12:00:00 AM,788,1.774,$55.07
01/01/2003 12:00:00 AM,858,1.774,$60.52
02/01/2003 12:00:00 AM,822,1.774,$57.72
03/01/2003 12:00:00 AM,801,1.774,$56.08
